orig_index,true_label,detector_confidence,detector_estimated_ratio,attack_ratio,label_bucket,replay_step
16929,1,0.8994457721710205,0.8999999761581421,0.9,attack,132
17031,1,0.8741875290870667,0.8700000047683716,0.88,attack,133
17229,0,0.8287768363952637,0.8199999928474426,0.84,benign,134
17474,0,0.8439942002296448,0.8399999737739563,0.84,benign,135
17678,0,0.8278783559799194,0.8199999928474426,0.82,benign,136
17719,0,0.8066718578338623,0.800000011920929,0.8,benign,137
18102,0,0.8577614426612854,0.8500000238418579,0.84,benign,138
18120,1,0.8832355737686157,0.8799999952316284,0.87,attack,139
18188,1,0.8787582516670227,0.8799999952316284,0.88,attack,140
18373,1,0.9003291130065918,0.8999999761581421,0.9,attack,141
18429,0,0.8293827176094055,0.8299999833106995,0.83,benign,142
18605,0,0.8019344806671143,0.800000011920929,0.8,benign,143
18629,0,0.7719220519065857,0.7699999809265137,0.77,benign,144
19034,1,0.8580705523490906,0.8600000143051147,0.86,attack,145
19261,1,0.8591589331626892,0.8600000143051147,0.86,attack,146
19568,0,0.8198917508125305,0.8199999928474426,0.82,benign,147
19606,0,0.8346434831619263,0.8299999833106995,0.84,benign,148
19803,0,0.6925909519195557,0.6899999976158142,0.69,benign,149
19973,1,0.8533068895339966,0.8500000238418579,0.85,attack,150
20134,1,0.9491422176361084,0.949999988079071,0.95,attack,151
20261,1,0.8576992154121399,0.8600000143051147,0.86,attack,152
20271,0,0.837689220905304,0.8399999737739563,0.84,benign,153
20328,1,0.8698458075523376,0.8700000047683716,0.87,attack,154
20578,1,0.8497189879417419,0.8500000238418579,0.85,attack,155
20712,1,0.8485469818115234,0.8500000238418579,0.85,attack,156
20838,1,0.8510622978210449,0.8500000238418579,0.86,attack,157
20916,0,0.8205698132514954,0.8199999928474426,0.82,benign,158
21203,0,0.7999889254570007,0.800000011920929,0.8,benign,159
21295,0,0.7922539710998535,0.7900000214576721,0.8,benign,160
21299,0,0.7913861870765686,0.7900000214576721,0.8,benign,161
21508,0,0.830646812915802,0.8299999833106995,0.84,benign,162
21600,1,0.8479499816894531,0.8500000238418579,0.85,attack,163
21733,0,0.8187517523765564,0.8199999928474426,0.81,benign,164
21806,0,0.7671636343002319,0.7599999904632568,0.76,benign,165
21948,1,0.8541373610496521,0.8399999737739563,0.86,attack,166
22082,1,0.876903235912323,0.8700000047683716,0.87,attack,167
22110,1,0.9052704572677612,0.8999999761581421,0.9,attack,168
22171,0,0.8391054272651672,0.8399999737739563,0.83,benign,169
22284,1,0.8498303294181824,0.8500000238418579,0.85,attack,170
22317,1,0.8491634130477905,0.8500000238418579,0.85,attack,171
22329,1,0.8691211938858032,0.8700000047683716,0.87,attack,172
22468,1,0.8876321911811829,0.8899999856948853,0.89,attack,173
22501,1,0.8775237202644348,0.8799999952316284,0.88,attack,174
22708,0,0.8302080035209656,0.8299999833106995,0.83,benign,175
22853,1,0.8703062534332275,0.8700000047683716,0.87,attack,176
22944,0,0.8237143158912659,0.8199999928474426,0.82,benign,177
23025,1,0.8696657419204712,0.8600000143051147,0.86,attack,178
23094,1,0.8847257494926453,0.8799999952316284,0.88,attack,179
23112,1,0.8747749924659729,0.8700000047683716,0.87,attack,180
23209,0,0.8125288486480713,0.8100000023841858,0.81,benign,181
23431,0,0.8284656405448914,0.8299999833106995,0.83,benign,182
23733,1,0.8589532971382141,0.8600000143051147,0.86,attack,183
23759,1,0.8488499522209167,0.8500000238418579,0.85,attack,184
23778,0,0.8388105034828186,0.8399999737739563,0.84,benign,185
23811,0,0.8340607285499573,0.8299999833106995,0.83,benign,186
24133,0,0.8036412000656128,0.800000011920929,0.8,benign,187
24191,0,0.7837530374526978,0.7799999713897705,0.78,benign,188
24211,0,0.7800889611244202,0.7799999713897705,0.78,benign,189
24373,1,0.8676241040229797,0.8600000143051147,0.87,attack,190
24560,0,0.8401661515235901,0.8399999737739563,0.84,benign,191
24613,1,0.8799384832382202,0.8799999952316284,0.88,attack,192
24618,1,0.889945924282074,0.8899999856948853,0.89,attack,193
24726,1,0.8958290219306946,0.8899999856948853,0.91,attack,194
24772,1,0.8804629445075989,0.8799999952316284,0.88,attack,195
24837,0,0.843108594417572,0.8399999737739563,0.84,benign,196
24967,0,0.8299122452735901,0.8299999833106995,0.83,benign,197
24996,0,0.8168489336967468,0.8199999928474426,0.82,benign,198
25212,0,0.7699838280677795,0.7599999904632568,0.77,benign,199
25323,1,0.8604229688644409,0.8600000143051147,0.86,attack,200
25341,1,0.8699449300765991,0.8700000047683716,0.87,attack,201
25525,0,0.7626132369041443,0.7599999904632568,0.76,benign,202
25624,0,0.7826955914497375,0.7799999713897705,0.78,benign,203
25753,1,0.8601194024085999,0.8600000143051147,0.86,attack,204
25855,1,0.8498777151107788,0.8500000238418579,0.85,attack,205
25924,1,0.8552750945091248,0.8600000143051147,0.85,attack,206
26023,1,0.8599913120269775,0.8600000143051147,0.86,attack,207
26138,0,0.8406216502189636,0.8399999737739563,0.84,benign,208
26215,0,0.8106439113616943,0.8100000023841858,0.81,benign,209
26320,1,0.8734425902366638,0.8700000047683716,0.88,attack,210
26321,1,0.8734425902366638,0.8700000047683716,0.88,attack,211
26485,0,0.8274185657501221,0.8199999928474426,0.82,benign,212
26629,0,0.7977456450462341,0.7900000214576721,0.8,benign,213
26652,0,0.7860429883003235,0.7799999713897705,0.79,benign,214
27007,0,0.8211085796356201,0.8199999928474426,0.82,benign,215
27027,0,0.8113611340522766,0.8100000023841858,0.81,benign,216
27028,0,0.8113600015640259,0.8100000023841858,0.81,benign,217
27099,1,0.8569684028625488,0.8500000238418579,0.86,attack,218
27290,1,0.8499709963798523,0.8500000238418579,0.85,attack,219
27385,0,0.8199859857559204,0.8199999928474426,0.82,benign,220
27475,0,0.8246893286705017,0.8199999928474426,0.82,benign,221
27647,1,0.8756607174873352,0.8799999952316284,0.88,attack,222
27708,1,0.8587411642074585,0.8600000143051147,0.86,attack,223
27800,0,0.8176383972167969,0.8199999928474426,0.81,benign,224
27874,0,0.8300334215164185,0.8299999833106995,0.82,benign,225
28068,1,0.8468767404556274,0.8399999737739563,0.85,attack,226
28073,0,0.8368855118751526,0.8299999833106995,0.84,benign,227
28281,1,0.879469096660614,0.8799999952316284,0.87,attack,228
28318,0,0.8395709991455078,0.8399999737739563,0.83,benign,229
28618,0,0.8398676514625549,0.8399999737739563,0.84,benign,230
28794,0,0.824093222618103,0.8199999928474426,0.83,benign,231
28804,0,0.8240866661071777,0.8199999928474426,0.83,benign,232
28906,1,0.8526306748390198,0.8500000238418579,0.85,attack,233
28907,1,0.8526313900947571,0.8500000238418579,0.85,attack,234
29018,1,0.8500974178314209,0.8500000238418579,0.85,attack,235
29042,0,0.8424707651138306,0.8399999737739563,0.84,benign,236
29145,0,0.8119410872459412,0.8100000023841858,0.81,benign,237
29234,0,0.8217334747314453,0.8199999928474426,0.82,benign,238
29238,0,0.8317458629608154,0.8299999833106995,0.83,benign,239
29334,0,0.8088564872741699,0.8100000023841858,0.81,benign,240
29394,1,0.8475148677825928,0.8500000238418579,0.85,attack,241
29434,0,0.8201691508293152,0.8199999928474426,0.83,benign,242
29457,1,0.8426319360733032,0.8399999737739563,0.85,attack,243
29590,0,0.8261587023735046,0.8299999833106995,0.83,benign,244
29634,0,0.8141408562660217,0.8100000023841858,0.82,benign,245
29644,0,0.8041713237762451,0.800000011920929,0.81,benign,246
29713,0,0.8383910655975342,0.8399999737739563,0.84,benign,247
29828,1,0.9029292464256287,0.8999999761581421,0.9,attack,248
30236,0,0.7777734398841858,0.7799999713897705,0.79,benign,249
